Pais,Región,Dias Festivos/año,Pib per cápita,% Desempleo,Muertes Vx100.000h,% Informalidad,Ranking felicidad,Puntaje felicidad,Ranking competitividad,puntaje competitividad,Ranking doing business,Puntaje doing business,Expectativa vida,% inversión educación PIB,# patentes solicitadas,Población ,Patentes solicitadas per cápita,Patentes solicitadas x 100.000 hb
Colombia,Sur America,18,14100,9.2,37.6,64,36,6537,61,4.3,54,70.4,74,4.9,751,48650000,0.00002,1.54
Brasil,Sur America,12,15200,11.5,30.53,37,22,6635,81,4.06,116,57.7,75,6.1,7223,207650000,0.00003,3.48
Argentina,Sur America,16,20000,6.6,7.62,47,24,6599,104,3.81,121,56.8,76,5.3,1143,43850000,0.00003,2.61
Chile,Sur America,15,24100,6.6,3.88,33,20,6652,33,4.64,48,71.5,79,4.6,941,17910000,0.00005,5.25
Venezuela,Sur America,14,13800,6.9,47.04,48,82,5250,130,3.27,186,35.5,74,7.5,0,31570000,0.00000,0.00
Finlandia,Europa,15,42200,9,2,0,5,7469,10,5.44,10,81.1,81,7.2,12560,5500000,0.00228,228.36
Turquia,Europa,14,24900,10.3,3.23,17,69,5500,55,4.39,55,69.2,75,4.4,8374,79510000,0.00011,10.53
Rusia,Europa,14,26500,5.7,9.21,21,49,5963,43,4.51,51,71,71,3.8,31815,144340000,0.00022,22.04
Malta,Europa,14,39900,5.3,0.7,0,27,6527,40,4.52,80,63.7,82,7.2,496,440000,0.00113,112.73
España,Europa,14,36400,19.4,0.64,23,34,6403,32,4.68,33,74.9,83,4.3,10807,46440000,0.00023,23.27
Tailandia,Asia,16,16900,0.6,6.98,43,32,6424,34,4.64,49,71.4,75,4.1,1601,68860000,0.00002,2.33
Libano,Asia,16,18500,6.8,2.03,20,88,5225,101,3.84,123,56.4,79,2.5,158,6010000,0.00003,2.63
Corea del Sur,Asia,16,37700,3.7,1.1,0,55,5838,26,5.03,4,83.9,82,5.1,233786,51250000,0.00456,456.17
Japón,Asia,16,41300,3.1,0.28,13,51,5920,8,5.48,34,74.7,84,3.6,456467,126990000,0.00359,359.45
India,Asia,18,6600,3.5,5.75,85,122,4315,39,4.52,130,54.7,68,3.8,25845,1324170000,0.00002,1.95
Belice,Centro America,12,8400,11.1,43.5,49,50,5956,123,3.52,120,56.8,70,7.4,0,370000,0.00000,0.00
Costa Rica,Centro America,11,16700,9.3,11.2,41,12,7079,54,4.41,58,68.6,80,7.1,58,4860000,0.00001,1.19
El Salvador,Centro America,11,8800,7,93.1,56,45,6003,105,3.81,86,62.8,73,3.5,8,6340000,0.00000,0.13
Guatemala,Centro America,11,8100,2.4,70.7,70.2,29,6454,78,4.08,81,63.5,73,2.8,7,16580000,0.00000,0.04
Honduras,Centro America,12,5400,6.3,36,70.7,91,5181,88,3.98,110,58.1,73,5.4,10,9110000,0.00000,0.11
Nicaragua,Centro America,12,5600,6.2,13.5,80,43,6071,103,3.81,125,55.8,75,4.7,0,6150000,0.00000,0.00
Panamá,Centro America,14,23400,5.5,34.4,40,30,6452,42,4.51,69,65.7,78,3.3,112,4030000,0.00003,2.78
